,,,,,,,,,,On_Daytime (1030pm),Off_Daytime (1030am),Feeding1 (1030am),(2:30pm),(6:30pm),(10:30pm),Left_Vimean,Left_magnitude,Right_Vimean,Right_magnitude,Overall_Rate
Lab,Species,Strain,Sex,Supplier,Weights,Mouse,Cabinet,Box,Protocol,D(9),D(19),D(1),D(11),D(2),D(12),F(1),F(3),F(4),F(6),F(7)
Freestone,Mouse,C57BL/6,Female,JAX,,M001,A,1,k_protocol,81000,37800,37800,52200,66600,81000,80,1,360,1,0.006944444
Freestone,Mouse,C57BL/6,Female,JAX,,M002,A,2,k_protocol,81000,37800,37800,52200,66600,81000,360,1,80,1,0.006944444
Freestone,Mouse,C57BL/6,Female,JAX,,M003,A,3,k_protocol,81000,37800,37800,52200,66600,81000,80,1,360,1,0.006944444
Freestone,Mouse,C57BL/6,Female,JAX,,M004,A,4,k_protocol,81000,37800,37800,52200,66600,81000,360,1,80,1,0.006944444
Freestone,Mouse,C57BL/6,Female,JAX,,M005,A,5,k_protocol,81000,37800,37800,52200,66600,81000,80,1,360,1,0.006944444
Freestone,Mouse,C57BL/6,Female,JAX,,M006,A,6,k_protocol,81000,37800,37800,52200,66600,81000,360,1,80,1,0.006944444
Freestone,Mouse,C57BL/6,Female,JAX,,M008,A,8,k_protocol,81000,37800,37800,52200,66600,81000,80,1,360,1,0.006944444
Freestone,Mouse,C57BL/6,Male,JAX,,M010,B,2,k_protocol,81000,37800,37800,52200,66600,81000,360,1,80,1,0.006944444
Freestone,Mouse,C57BL/6,Male,JAX,,M011,B,3,k_protocol,81000,37800,37800,52200,66600,81000,80,1,360,1,0.006944444
Freestone,Mouse,C57BL/6,Male,JAX,,M012,B,4,k_protocol,81000,37800,37800,52200,66600,81000,360,1,80,1,0.006944444
Freestone,Mouse,C57BL/6,Male,JAX,,M013,B,5,k_protocol,81000,37800,37800,52200,66600,81000,80,1,360,1,0.006944444
Freestone,Mouse,C57BL/6,Male,JAX,,M014,B,6,k_protocol,81000,37800,37800,52200,66600,81000,360,1,80,1,0.006944444
Freestone,Mouse,C57BL/6,Male,JAX,,M015,B,7,k_protocol,81000,37800,37800,52200,66600,81000,80,1,360,1,0.006944444
Freestone,Mouse,C57BL/6,Male,JAX,,M016,B,8,k_protocol,81000,37800,37800,52200,66600,81000,360,1,80,1,0.006944444
