,,,,,,,,,,On_Daytime (1030pm),Off_Daytime (1030am),Feeding1 (1030am),(3:30pm),(5:30pm),(10:30pm),DRL Schedule,Peak Schedule,Switch Short,Switch Long,Bisection Short,,,Intermediate Durations,,,,,Bisection Long,Task in Feeding 1,Task in Feedeing 2,DRL schedule offset,DRL Nosepoke,Peak Schedule Offset,Peak Nosepoke,Peak pFood,Short Nosepoke,Long Nosepoke,Switch Schedule Offset,SwitchpShort,Bisection Schedule Offset,BisectionpShort
Lab,Species,Strain,Sex,Arrival_Weights,Supplier,Mouse,Cabinet,Box,Protocol,D(9),D(19),D(1),D(11),D(2),D(12),F(51),F(61),F(76),F(77),F(86),F(87),F(88),F(89),F(90),F(91),F(92),F(93),F(94),F(200),F(201),F(202),F(203),F(204),F(205),F(206),F(207),F(208),F(209),F(210),F(211),F(212)
Freestone,Mouse,C57BL/6,Female,,Jax,M001,A,1,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,1,2,3,0.5,3,1,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Female,,Jax,M002,A,2,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,3,2,1,0.5,1,3,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Female,,Jax,M003,A,3,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,1,2,3,0.5,1,3,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Female,,Jax,M004,A,4,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,3,2,1,0.5,3,1,1,0.5,1,0.25
Freestone,Mouse,C57BL/6,Female,,Jax,M005,A,5,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,3,2,1,0.5,3,1,3,0.5,3,0.25
Freestone,Mouse,C57BL/6,Female,,Jax,M006,A,6,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,1,2,3,0.5,1,3,3,0.5,3,0.25
Freestone,Mouse,C57BL/6,Female,,Jax,M007,A,7,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,3,2,1,0.5,3,1,1,0.5,3,0.25
Freestone,Mouse,C57BL/6,Female,,Jax,M008,A,8,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,1,2,3,0.5,1,3,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M009,B,1,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,3,2,1,0.5,1,3,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M010,B,2,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,3,2,1,0.5,1,3,3,0.5,3,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M011,B,3,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,3,2,1,0.5,3,1,1,0.5,3,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M012,B,4,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,3,2,1,0.5,1,3,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M013,B,5,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,1,2,3,0.5,1,3,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M014,B,6,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,1,2,3,0.5,3,1,1,0.5,3,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M015,B,7,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,2,4,2,1,2,3,0.5,3,1,2,0.5,2,0.25
Freestone,Mouse,C57BL/6,Male,,Jax,M016,B,8,h_protocol,81000,37800,37800,55800,63000,81000,12,72,3,6,3,4.125,5.25,6.375,7.5,8.625,9.75,10.875,12,1,4,2,1,2,3,0.5,3,1,1,0.5,1,0.25
